"endTime","artistName","trackName","msPlayed"
"2022-05-25 12:49","Nuestro Día","Perrito, gatito, y ¿ratita? ",646103
"2022-05-25 13:18","Nuestro Día","El deporte, la violencia de género y el silencio",1775027
"2022-05-25 13:43","Nuestro Día","Planificación + listas = metas cumplidas ",1475056
"2022-05-25 14:07","Nuestro Día","¿Qué es y para qué sirve la terapia cognitivo conductual? ",1452355
"2022-05-25 14:43","Nuestro Día","Nuestra agenda del martes 17 de mayo ",2015400
"2022-05-25 14:52","Nuestro Día","Censo 2022: ¿Están seguros nuestros datos? ",570051
"2022-05-25 14:55","Nuestro Día","Varones en recitales: un paso atrás",178225
"2022-05-25 15:29","Nuestro Día","Cinco minutos al futuro: de ovnis a fasis",1202480
"2022-05-26 12:01","Nuestro Día","Data Duda: dura y censual",1871344
"2022-05-26 12:21","Nuestro Día","¿Para qué convertir los contratos de alquiler en NFT?",1149083
"2022-05-26 12:21","Nuestro Día","Nuestra agenda del miércoles 18 de mayo",33171
"2022-05-26 12:47","Nuestro Día","Nuestra agenda del jueves 19 de mayo",1577743
"2022-05-26 12:56","Nuestro Día","¿Cómo se vive y cómo se supera una tragedia en un rodaje?",493505
"2022-05-26 13:08","Nuestro Día","¿Nos interesa cada vez menos el sexo?",721770
"2022-05-26 13:31","Nuestro Día","La boleta es única, Tomás Aguerre también",1376851
"2022-05-26 13:48","Nuestro Día","Por qué contaminamos cuando usamos internet",985002
"2022-05-26 13:58","Nuestro Día","Eustrés y distrés: ¿existe el estrés positivo?",953
"2022-05-26 13:58","Nuestro Día","¿Qué son los patrimonios de la humanidad?",384781
"2022-05-26 14:08","Nuestro Día","¿Tenemos que preocuparnos por la viruela del mono?",580175
"2022-05-26 14:37","Nuestro Día","Eustrés y distrés: ¿existe el estrés positivo?",1189511
"2022-05-26 14:38","Nuestro Día","¿Hay un embarazo en el Hotel de los Famosos?",46325
"2022-05-26 14:47","Nuestro Día","¿Qué pasará con la viruela del mono?",531877
"2022-05-26 15:06","Nuestro Día","¿Por qué Rusia quiere irse de internet y tener su propia red?",466222
"2022-05-27 11:20","Nuestro Día","¿Por qué Rusia quiere irse de internet y tener su propia red?",726653
"2022-05-27 11:46","Nuestro Día","Cinco minutos al futuro: Transhumanismo",1402068
"2022-05-27 12:36","Nuestro Día","Si hay Data Duda… hay video",1727380
"2022-05-27 12:42","Nuestro Día","El seleccionado argentino de talla baja, campeón de América",237485
"2022-05-27 13:10","Nuestro Día","Nuestra agenda del miércoles 25 de mayo",1557317
"2022-05-27 13:21","Nuestro Día","¿Cuál es el significado de las fechas patrias?",612915
"2022-05-27 13:45","Nuestro Día","Name-dropping: ¿síntoma de baja autoestima?",858207
